id	date	party	text
1	2013-04-29	v	jämställdhet ökad tillväxt tillväxtpotential ökad jämställdhet 
2	2013-04-29	v	avkommersialisera välfärden förutsättning skola vård omsorg ägar huvudmännen fokuserar 
3	2013-04-29	v	stärk kommunsektorn kommunala sysselsättningen utvecklats svagt åren 
4	2013-04-29	v	välfärden långsiktiga finansiering frågan välfärden framtida finansiering debatterats 
5	2013-04-29	v	gemensam välfärd 11.1offentlig_sektor sysselsättning offentliga_sektorn avgörande betydelse modernisering sysselsättning tillväxt 
6	2013-04-29	v	målen vänsterpartiets skattepolitik målsättningen vänsterpartiets skattepolitik trygga välfärden arbete inkomstskillnader skapa hållbar utveckling 
7	2013-04-29	v	skatter styrmedel miljöpolitiken skatter avgifter viktiga styrmedel klimat- miljöomställningen 
8	2013-04-29	v	skatt finansiell transaktioner ökad ojämlikhet oreglerad finanssektor orsaker finanskrisen 
9	2013-04-29	v	finansiellt_sparande tabell offentliga_sektorns finansiella_sparande finansiellt_sparande nivå differen regeringen stockholm sjöstedt torbjörn björlund holma linde olofsson sydow mölleby ulla andersson programmet beredd köpa statspapper andrahandsmarknaden villkor uppfyllda 
10	2013-04-29	v	1930-talet drabbades massarbetslöshet 1990-talskrisen utgjorde anslagen aktiv arbetsmarknadspolitik 3procent oecd 1990-talskrisen finanskrisen sänktes offentliga_utgifter område kraftigt socialdemokratiska_regeringar regeringen reinfeldt 
11	2013-04-29	v	1990-talskrisen massarbetslösheten grepp svenska_arbetsmarknaden 
12	2013-04-29	v	effekter besparingar direkt finanskrisen sjösatte finanspolitisk stimulanspaket 
13	2013-04-29	v	regeringen prognosmiss finanspolitiken regeringen höstas presenterade budgetpropositionen stark kritik prognoser budgeten baserades 
14	2013-04-29	v	strukturomvandlingen kraven arbetskraften utbildning svenska ekonomin genomgått omvälvande förändringar åren 
15	2013-04-29	v	ökad strukturell arbetslöshet strukturell arbetslösheten arbetslösheten konjunkturläget ökat åren tecken kraftiga ökningen långtidsarbetslösheten 
16	2013-04-29	v	från aktiv arbetsmarknadspolitik passiva massåtgärder förklaring försämrade matchningseffektiviteten utvecklingen långa arbetslöshetstider regeringen kraftigt minskat möjligheter omskolning vidareutbildning 
17	2013-04-29	v	utvecklingen arbetsmarknaden ekonomiska_kriser brukar förstärka strukturomvandlingen arbetsmarknaden 
18	2013-04-29	v	ökad ojämlikhet föregående avsnitten konstatera regeringen ekonomiska_politik jobb minskat arbetslösheten ökat sysselsättningsgraden 
19	2013-04-29	v	ökade inkomstskillnader män kvinnor jämställdhetsbilagan budgetpropositionen regeringen kvinnor förvärvsarbetar utsträckning män lägre lön män kvinnor ansvar obetalt hemarbete ensamstående kvinnor lägsta inkomster 
20	2013-04-29	v	privatiseringar besparingar välfärden konjunkturinstitutets beräkningar minskade kommunfinansierade sysselsättningen 
21	2013-04-29	v	bort den_svenska_modellen borgerliga_regeringen bärande delar den_svenska_modellen försvagats kraftigt 
22	2013-04-29	v	det ekonomiska_läget 4.1internationell ekonomi ekonomisk återhämtningen finanskrisen bitvis turbulent 
23	2013-04-29	v	skattesänkningar specifika grupper regeringen skattelättnader utvalda branscher sänkt arbetsgivaravgifter företag anställda ålder 
24	2013-04-29	v	regeringen politik leder jobb 5.1jobbskatteavdraget a-kassan jämviktsarbetslösheten regeringen ekonomiska_politik ökad sysselsättning tämligen stöd tillfället dominerande nationalekonomisk teoribildningen 
25	2013-04-29	v	åtgärdsplaner full sysselsättning överordnade målet ekonomiska_politiken full sysselsättning 
26	2013-04-29	v	finansiering investeringar budgetlagen föreskriver investeringar infrastruktur fastigheter normalfallet finansieras anslag statsbudgeten 
27	2013-04-29	v	balanskravet kommunsektorn infördes finansiell balanskrav kommunsektorn 
28	2013-04-29	v	ramverken finanspolitiken 1990-talskrisen lades svenska ekonomiska_politiken införde ramverk finans- penningpolitiken 
29	2013-04-29	v	styrningen penningpolitiken operativa ansvaret penningpolitiken vilar riksbanken direktion ledamöter direktionen utses riksbanksfullmäktige 
30	2013-04-29	v	ramverken penningpolitiken 6.3.1målen penningpolitiken riksbankslagen riksbanken upprätthålla penningvärde 
31	2013-04-29	v	ekonomisk ramverk ökad sysselsättning 6.1riktlinjer ekonomiska_politiken full sysselsättning överordnade målet vänsterpartiets ekonomiska_politik 
32	2013-04-29	v	inkludering antidiskriminering svenska_samhället utmärks djupare orättvisor 
33	2013-04-29	v	likvärdig skola vänsterpartiet kunskap målet utbildningspolitiken 
34	2013-04-29	v	fler fasta jobb färre otrygga anställningar decennier tryggheten svenska_arbetsmarknaden urholkats 
35	2013-04-29	v	investeringar betydelse arbetslösheten nämnda rapporten almega teknikföretagen unionen analyserades investeringar industrin 
36	2013-04-29	v	investeringar grön infrastruktur vänsterpartiet behov kraftigt höja ambitionsnivån klimatpolitiken 
37	2013-04-29	v	energiomställning investeringar grön teknik möta klimatutmaningar världen satsningar miljöteknisk innovationer nyckeln_till_framgång 
38	2013-04-29	v	investeringar 8.1offentliga investeringar tunga instanser kritiserat regeringen bristen offentliga investeringar 
39	2013-04-29	v	aktiv näringspolitik ställa_om innovationsdriven tillväxt 
40	2013-04-29	v	accelererande globaliseringen inneburit konkurrenstrycket ökat strukturomvandlingen svenska ekonomin snabbare 
41	2013-04-29	v	akademisk området sambandet investeringar arbetslöshet studerats uppsatser 
42	2013-04-29	v	aktörer vita marknaden återfinns informell sektorn 
43	2013-04-29	v	allmänt generell sänkningar avgifter dyrt skapa jobb träffsäkert 
44	2013-04-29	v	almega teknikföretagen unionen ekonomisk teknikindustri tjänster avtalsrörelsen 
45	2013-04-29	v	alternativscenario analyseras offentliga_finanser genomsnittliga arbetstiden sysselsatt minskar år offentliga konsumtionen ökar utöver följer demografiska_utvecklingen 
46	2013-04-29	v	amerikanska centralbanken sänkte hösten styrräntan intervall 
