id,date,author,post
1,2005-03-15,EvilN,Segregation kan aldrig leda till något annat än fientlighet mellan de segregerade grupperna . De enda som kan påstå att det är bättre i längden är de som levt under segregation under längre period ( det e vi Svennar det ) . -- Oldschool
2,2005-03-15,Icke-socialist,"Är det bra eller dåligt att olika folkgrupper delar upp sig i olika bostadsområden/skolor/jobb eller är det dåligt ? Även olika invandargrupper delar ju gärna upp sig . Men ofta beskrivs detta som något negativt , men är det det ? Dom som säger sig vara toleranta är ofta väldigt intoleranta mot dom intoleranta ."
3,2005-03-15,moderatsvin,"Alla PK-människor i riksdagen och i media borde tvingas att flytta till invandrarghetton . Då skulle segregationen minska . Moderat i samtliga forum :cool : Moderatsvin på utsidan Snäll och omtänksam på insidan Moderat både utanpå och innuti . : ) Lär er skilja på utsidan och insidan , pappskallar . :p"
4,2005-03-15,Mysonoxen,"Min mening : Alla som kan anpassa sig till det svenska samhället utan att ställa en massa krav på sin egenart och på ' positiv särbehandling ' kan bo vart de vill . Resten kan vi se till att de tar sitt pick och pack och far åt helvete eller var de kommer från . Om alla anpassar sig och vi blir av med de som bosätter sig här enkom i parasit- och ockupationssyfte behöver vi inga segregerade samhällen . ' Jag har bara gråtit tre gånger i mitt liv . Först när min far dog , den andra gången då premiären på ' Barberaren i Sevilla ' blev utvisslad av publiken , men allra mest grät jag då jag under en båtfärd tappade en tryffelspäckad kalkon i vattnet ' Gioacchino Rossini"
5,2005-03-15,Rubbe,"Segregation är självklart något negativt . Invandrare som varit integrerade blir mer sällan ett problem för samhället än de som lever avskilt från svenskarna . Att problemet uppstått är nog till lika stor del bägge parters fel , svenskarna för att vi flyttar ut ur invandringstäta områden och invandrarna för att de vågar så lite när de kommer till ett nytt land . Fast jag tror i grunden att vi alla funkar på så sätt , se bara på svenskar som ofta flyttat till svenskkolonier ( Minnesota , Costa del sol ) ."
6,2005-03-15,Säkre_Sammy,"Det är väldigt bra att segregation finns , jag vill inte ha en massa svarta-kalle som grannar ! ~ Jag är strukturell diskriminerare !"
7,2005-03-15,TomBombadill,"Ju starkare segregation - ju lättare blir det att utvisa . Så för min del avskyr jag ' försvenskade svartskallar ' . End ? No , the journey doesn't end here . Death is just another path , one that we all must take . The grey rain curtain of this world rolls back and all turns to silvered glass . And then you see it : White shores and beyond , a far green country under a swift sunrise ."
8,2005-03-16,9.0mm,Mycket posotivt skulle vara om man kunde tillbakarätta adopterade . Får klura ut någon lag i framtiden .
9,2005-03-16,Bonzo666,"Eh ... kan inte några av er flytta iväg också ? Inte för att man själv alltid är speciellt politiskt korrekt , men allvarligt talat ... Att citera Ayatollah Khomeini är möjligtvis ganska ointressant om man vill smutskasta ( ' beskriva ' ? ) iranier ? De iranier som är i Sverige har samtliga ( jo , samtliga utom ambassadören , affärsparter eller dylika ) flytt från JUST de religiösa fanatikerna : mullorna med Ayatollahn i spetsen . Att citera denne för att beskriva de som har flytt från dennes åsikter är alltså inte nödvändigtvis relevant . Det är som att förklara mig som emigrant med hjälp av Lars Ohlys citat : ' Jag har gjort mina husdjur med barn . ' ( jojo det har han sagt enligt en massa hemliga källor ) . Jag tror lika mycket på detta som att Ay-dog sade vad som citerades . ' Heligt krig ' = Jihad Jihad betyder enligt majoriteten av tolkningarna INTE ett fysiskt krig , utan översätts snarare till ' kamp ' = kamp mot något negativt tex frestelsen att använda droger , alkohol , bemöta folk negativt , etc andra frestelser som att förolämpa andra inläggsförfattares intelligens osv . Krigstolkningen görs av militanta grupper som ges enormt utrymme av media . Bara tex the Muslim Brotherhood ( ej militanta ) är större än ALLA militanta extremistgrupper tillsammans ! Att låta dessa extremister utgöra VÅR förståelse av islam är patetiskt . Tyvärr är det inte mer sanningsenligt att försöka bedöma en jordanier med en saudiarab eller en omanier som enhetliga muslimer , än det är att försöka bedöma en icke-religiös svensk ( som jag ) med en anhängare av Livets Ord , eller fanatisk katolsk abortmotståndare ( för ni e ju alla kristna .. ) . Oavsett vad man vill tycka om islam så kan är det givetvis nödvändigt att VETA vad islam står för . Sedan får man ju tycka som man vill ( åtminstone för flashback ) . För övrigt skall man lära sig svenska ordentligt innan man klagar på invandrare , eller hur ? Jodå , så var det nog . För övrigt föredrar jag en utbildad , sund och intelligent invandrare framför svenskt pack ... Sluta rösta på sossarna om ni vill ha integration , fortsätt rösta på vänstertomtarna om ni vill ha segregation . Rösta på Göran om ni vill ha mer subventionerade kakor ."
10,2005-03-16,Fula_Gubben,"Som jag skrivit tidigare : om vi nu ska ha ett mångkulturellt Sverige , då är segregering det bästa sättet att hantera det . Gärna med murar mellan . Ingen klagar , alla nöjda , utom några få flum-politiker på vänsterkanten . - F.G ' Svenska medier har aldrig insett att deras uppgift är att hålla ögon på staten och på makten . De tror att deras uppgift är att hålla koll på folket . ' - Knut Carlqvist ' Med glassen får man en CD där Astrid Lindgren läser sagor om Pippi , och under den korta sagostunden haglar rasistiska uttryck . ' - Expressen ' Kanske är hela strategin bakom att öppna dörrarna för asylsökande det enskilt största misstaget i Skandinaviens moderna historia ? ' - Professor Niall Ferguson , Harvard"
11,2005-03-16,Info-Moderator,Jag tycker inte att assimilerade invandrare är något problem . De blir väldigt lika oss och skrattar åt samma saker och man förstår varandra . Problemet är många icke-assimilerade invandrare som envisas med att vara kvar i sin kultur och sitt uppförande . Det ger upphov till många problem och uppfattas som väldigt negativt av många .
12,2005-03-16,Karembeu,"Vilket gör vilken skillnad ?!? Det är väl fortfarande samma kille som står för dem? ! ? Det tror inte jag .... men är det så så är det ju fortfarande ett problem för integrationen . Om du har läst hela artikeln i City så ser du likväl som jag att flera personer hävdar att de som klagar redan har tillgång till att be 5 ggr om dagen ... Fast nu kan du ju knappast jämföra Abd al Haqq med påven . Så vitt jag vet så är inte ordförande i Svenska islamiska förbundet islams överhuvud i världen .... vilket ju påven är när det gäller den Katolska kyrkan ... Ser du skillnaden ?! ? Så nog är det lite oroande trots allt ... ' Child abuse doesn't have to mean broken bones and black and blue marks . Young growing tissues are far more vulnerable to carcinogens than those of adults . Knowingly subjecting children to respiratory tract disease is child abuse. ' Dr . William Cahan , Memorial Sloan Kettering Cancer Center , USA , 1993"
13,2005-03-16,Lorelai,"God ton ? Seriöst och respektfullt tonläge när jag beträder den politiska arenan ? Om det du säger inte vore så tragiskt för att någon som du säger det så hade jag naturligtvis varit helt överens om innebörden . Problemet är bara att de ignoranta tjockpannande skribenterna i den här delen av forumet på en daglig basis , i mängder av inlägg , inte gör annat än uppträder respektlöst mot den stora delen av befolkningen som ni diskvalificerar på grund av deras hudfärg . Så det blir i sammanhanget ganska befängt att du talar om för mig att jag inte bör kalla er vid ert rätta namn när ni själva knappast kan smickras med att hålla en anständig ton när ni uttalar er om människor ni inte ens har någon sorts individkännedom om . Om jag kallar någon här för idiot så finns det åtminstone ett bevismaterial för att så faktiskt är fallet genom att vederbörande , ex du och MAR , har producerat en hel del inlägg i vilka inget mindre än det står att utläsa . Det är skillnad på det och på att du och en del skribenter här kallar hela folkslag , om vilka ni givetvis vet lite eller ingenting om , för mindre värda . Jag dömer ut individer , oberoende av hudfärg och annat , i de fall de visar sig vara idioter - så rättvis är jag ."
14,2005-03-16,Lorelai,Segregation är lika idiotiskt som nötterna som förespråkar segregation är .
