id	mydate	author	posts	text
1	2021-10-14	LegendenLarsVilks	#474	Han inser att han har varit naiv och gjort ett misstag och vill nu att du ska göra samma misstag så att han inte känner sig lika bortgjord. Något sånt, förmodligen. Ingen i min familj eller närhet har fått någon biverkning av vaccin och jag hoppas att det förblir så. Kan biverkning verkligen dyka upp flera år efter vaccinering? Måste vara väldigt ovanligt? Är dåligt insatt
2	2021-09-28	SittFint	#7130	Som sagt så diskuterar vi det inom ramen för den hippokratiska läkareden. Men du menar alltså att den ska tolkas som att en läkare aldrig ska ge patienter medicin, eftersom mediciner kan räknas som gift? Inte lika svårt som att föra en diskussion med någon som inte kan sätta saker i sitt sammanhang och förstå att ett ord faktiskt kan betyda olika saker i olika situationer. Trist om du saknar den förmågan. Att undanhålla viktig information om mediciner eller injektioner borde väl anses oetiskt, eller har du en annan åsikt? Instämmer.
3	2021-08-06	Javool	#102	Därför fortsätter du att ta vaccin och förlänger skyddet tills det är klart. Detta blir i stort sett omöjligt för tomtar som ni och muppar som tror de blir helt immuna av vaccinet. Risken att du smittar som vaccinerad och ej blir sjuk är minimal. Helt ärligt, hur jävla svårt är det att förstå. Det har gjorts förr.
4	2021-03-15	shbou	#2613	Så även Frankrike. Man behöver inte vara foliehatt för att begripa att det är en chansning att ta vaccinet.
5	2021-02-05	Spersson	#11090	Det förekommer att fullt friska personer behöver sjukhusvård även pga vanlig säsongsinfluensa. Om riskgrupper vaccineras så kommer ytterst få behöva intensivvård. Precis som med den årlig influensan.
6	2021-08-12	Elgrego	#79	Pajas. Att vården är körd i botten beror snarare på nedskärningar än ngt annat. Hur många i Sverige som har dött av Corona kan ju diskuteras. Du gnäller på andra men är själv totalt hjärntvättad av propagandan. Totalt befriad från egen tankeförmåga
7	2021-09-03	YeeNaaldloshii-	#930	Total galenskap! Jag har sagt det många gånger förut och jag säger det igen, detta är det värsta brottet mot mänskligheten i vår historia. Vilket också betyder att tiden vi lever i just nu kan mycket väl vara den viktigaste tiden i hela vår existens. Vi ska vinna denna striden! Alla som lever just nu kommer att uppmärksammas i alla framtida generationers historielektioner i skolan långt efter vi har koloniserat hela vårat solsystem. Have faith...
8	2021-09-04	Hoaxwatch	#267	Ingen aning, men ett obligatorisk corona-pass kommer du att behöva så småningom...
9	2021-07-27	Cheddarjoe	#3475	Men vaccin stärker inte dig som ett skydd. Du har precis lika stor chans att smitta med vaccin eller inte, vad är det du inte förstår? Vaccinet stärker immunförsvaret så till vida att du som är vaccinerad med stor sannolikhet inte behöver uppsöka sjukvård.
10	2021-12-14	Obs1234	#38	Kollega tog tredje dosen med biverkning, nu sjukskriven för yrsel Min far tog tredje, dosen. Han känner inget Jag är och förblir obesprutad tills vidare. Har tagit många vaccin. Men en prenumeration på Pfi$er intresserar mig inte för fem öre!
