id	mydate	author	posts	text	polarity
1	2021-04-26	roofofglass	#532	Å ena sidan har folk inte rätt till nåt på Facebooks privatägda servrar som vi har gratis tillgång till enbart efter_att accepterat användarvillkoren. Å andra sidan, så vann kommunister flera val i de länder där de senare kom att massmörda människor. Det är bara att radera Facebook, var_och_en måste ta sitt eget ansvar och lägga_ner sociala medier, som nu blivit kommunismens nya mask.	POSITIVE
2	2021-04-26	Rasande-Rose	#4284	Har stängt min facebook. Känns skönt att ta_bort alla sociala medier, det enda man behöver för att hålla kontakten med vänner är telefonnummer. Facebook och Twitter är som spåkulor för vad som komma skall. De utövar enorm makt på inte_minst den amerikanska regeringen, och tillämpar i_princip den modell som inte_minst demokratiska partiet ser som framtidens regering. Stenhård selektiv censur enligt kinesisk modell. Kartläggning av politiska dissidenter. Social stigmatisering av oliktänkande. I framtiden så blir du avstängd från ditt jobb, hem och familjeliv på samma sätt som ditt konto på sociala_medier godtyckligt stängs av.	POSITIVE
3	2021-04-26	lampljus	#94	Helt sjukt att folk inte kan prata med varandra om biverkningar elr skador som man fått av vaccin med varandra. är en rättighet att kunna prata med varandra i samma situation och kunna få stöd från andra i samma situation elr få mer information som andra har råkat utför m.m. det behövs verkligen en ny social platform där man kan prata om vad man vill	NEUTRAL
4	2021-04-27	Teu	#2139	Handlar om att försöka stävja den enorma mängden anti-vaccers som existerar för tillfället. Hade alla varit kapabla till kritisk_tänkande och haft tillräckligt med moral att inte hitta på en massa skit hade vi inte behövt ha förbud heller och kunnat föra en öppen och saklig debatt. Personer som sprider lögner och hittar på skit förtjänar inte yttrandefrihet.	POSITIVE
5	2021-04-27	Gents	#239	Så gruppen är inte avslutad då menar du?	NEUTRAL
6	2021-05-25	NeoVain	#2495	Det är lika över hela världen. Det har läckt ifrån varje land. Detta är mycket större än de flesta ens kan förstå. Hur korrupt världen är och vad som håller på att hända. Det går bara inte att få in i deras skallar. De försöker hitta den ena lilla detaljen efter den andra att hacka på bara. Det är för svårt att erkänna att man blivit så grundlurad. Speciellt om man tagit vaccinet redan. Det pratades om att några i england har planerat att storma slottet, döda drottningen och Rothschilds i england, hugga huvudet av alla de hittar. För de vet de är rökta redan, någon månad kvar att leva. En engelsman sa det i någon video jag såg igår. Det pratades så_där bodde. Fler_och_fler börjar fatta. Då får de anställa fler disinformatörer och skicka till ställen som här också. För att jämna ut balansen. Sanningen får aldrig vinna. Mörker krigar mot ljus. Lightside vs Darkside. Good vs bad. Änglar mot demoner. Den sista striden.	POSITIVE
7	2021-05-25	borskungen	#11039	De censurerade Swebbtv redan förra året, när tekn. dr. Lars_Bern sammanfattade forskningsläget.	NEUTRAL
8	2021-05-25	Sejfu	#2736	Som Pravda. Endast den rätta sanningen ska förmedlas till folket.	POSITIVE
9	2021-05-25	SittFint	#7640	Jag är för vaccin, men tycker det här är helt horribelt. Det är därför jag älskar Flashback.	NEUTRAL
10	2021-05-25	charonyipman	#413	Jag är också för vaccin. Man kan ju knappast säga att poliovaccinet varit något annat än ren framgång. Men det är en jäkla skillnad på poliovaccinet som är 70år gammalt, där man vet hur det fungerar i kroppen samt där långsiktiga studier gjorts och ett vaccin som gjorts för en smitta som inte_ens existerat i mer än 1.5år.	POSITIVE
11	2021-05-25	Haddock93	#7212	Förresten så skulle det inte förvåna_mig om Facebook vill skydda sina kompisar inom Big_Pharma. Läkemedelsföretagen tjänar enorm_pengar på om folk vaccinerar sig.	POSITIVE
12	2021-05-25	Cultura	#581	Hela vår miljontals år långa kulturevolution utgår ifrån vår unika förmåga att dela, lagra, ärva och utveckla information. Detta naturliga informationsflöde har gjort oss medvetna och intelligenta varelser men det är en process som sociala_medier och våra hegemonier idag till stor del kontrollerar. Hegemonin stödjer dessa sociala_medier ekonomiskt för att sen sitta med på deras möten och diskutera innehållet. Politiker nyttjar sen deras informationskanaler för att dygnet runt kunna influera och prata direkt till folket samtidigt_som de blockar personer som är kritiska eller aldrig ens har tilltalat dem. Något som borde resultera i en enad och genuin folkkamp om kulturen och kulturarvet blir istället ännu en polariserad fråga om teorier och idélära. Varför upprätthåller ni hegemonins status_quo genom_att diskutera innehållet som de delar, lagrar, ärver och utvecklar på deras subventionerade serverhallar istället_för_att prata om hur vi bäst förhindrar att detta är var vår lärdom numera odlas?	POSITIVE
13	2021-05-25	henriko	#5728	Behövs visselblåsare för detta? Har inte facebookanvändar själva upptäckt att de inte kan skriva vad de vill?	NEUTRAL
14	2021-05-25	Arnulf.den.Elfte	#152	Roligt att det här kommer fram. Jag har en vän på FB, vars poster brukade dyka_upp på min newsfeed kontinuerligt ett par gånger i veckan kanske. Ofta med länkar till alternativmedia o.l. Sen för någon månad sedan så kom jag att tänka på att jag inte sätt nåt från henne på länge, kanske 2-3 månader, vilket var lite märkligt då hon brukar posta typ hela tiden. Så jag gick in på hennes profil för att kolla. Och mycket riktigt, hon har postat lika frekvent som tidigare. Och många vaccinkritiska inlägg. Då har fb alltså varit så omtänksamma och anordnat det så_att jag inte ska behöva se nånting från henne längre typ, eftersom dom ju vet vad som är bäst för mig. <grinning-face-with-smiling-eyes> När jag gick in och la till henne i favoriter så dök hennes poster upp igen.	POSITIVE
15	2021-05-25	NeoVain	#2495	Aha du hittade en workaround! Bra jobbat! Men censuren blir hela tiden mer övergripande och sträng, snart fungerar nog inte det heller ska du se!	POSITIVE
16	2021-05-25	Innerfittefett	#2375	Men det var ok för din vän att posta vaccinkritiska inlägg? Då verkar det ju inte vara nån censur här i alla fall! Det verkar ju meningslöst med censur som tillåter det man vill censurera....	NEUTRAL
17	2021-05-25	NeoVain	#2495	För att få kontroll måste de trampa på åsikts och yttrandefriheten First amendment i Usas konstitution. Vilket de såklart vet. De använde samma censurverktyg när det gällde allting positivt om Donald_Trump(Som hyllade konstitutionen). Allting negativt fick däremot florera. De vill riva_upp konstitutionen och skapa en ny mer tyrannisk sådan. Med USA som ståthållare kan de sedan lättare tvinga andra länder att införa samma form av tyranni med massövervakning, där varje människa förvandlas till en slav över en period av ett par år. Då blir det lättare att få ner befolkningen till de åtrådda miljonerna. 90% ska bort. Så låter det på deras möten. För övriga mål, i positivt format, läs på Georgia Guidestones. global warming kan man lösa genom_att färre andas. Men inte genom demokrati.	NEUTRAL
18	2021-05-25	Owlstone	#216	Googlar jag endast world doctors alliance blir deras egna hemsida tredje träffen.	NEUTRAL
19	2021-05-25	Rasande-Rose	#4284	Västvärlden håller på att bli totalitär på riktigt. De trodde att Kina skulle bli som västvärlden, istället håller västvärlden på att bli som Kina. Det som allmänt sågs som en total självklarhet för år sen, t.ex. att ha olika syn på frågan om vaccin, abort, rasism och klimatet, håller på allvar på att dras mot censur där man i_praktiken inte får förorda fri åsiktsbildning. Fler_och_fler officiella sanningar dyker_upp som inte kan ifrågasättas, t.ex. Gretas klimat och vaccinets förträfflighet i alla lägen, inga undantag.	POSITIVE
20	2021-05-26	Arnulf.den.Elfte	#152	Jag googlar det samma och får inte upp den alls.	NEUTRAL
21	2021-05-27	glownigger	#593	Man vet att vi lever i en sjuk värld när Daily Stormer levererar mer nyanserade nyhetsartiklar än massmedia. URL Folk som försvarar detta är groteska.	NEUTRAL
22	2021-05-28	temasverige	#399	Det är väl det som menas med personifierat internet, de kanske visar olika resultat beroende_på din profil som de kartlagt genom ditt surfande? Vem vet	NEUTRAL
23	2021-05-28	temasverige	#399	Gott folk, nu har Facebook plötsligt ändrat sig och tillåter folk att nämna att corona-viruset kan ha skapats i ett lab i Kina, tänk på att det är ni som användare som gör Facebook så mäktigt. Att det plötsligt blev tillåtet är för att det är Biden (vänstern) som styr agendan nu. Lämna facebook-bubblan, hitta alternativ innan hela internet blir en en-åsiktsstat	POSITIVE
24	2021-05-28	Haddock93	#7212	Japp håller med. Intressant hur Facebook ändrar sig efter vad staten säger är okej. Inga alternativa narrativ tillåtna. Jag har lämnat Facebook, använder_mig endast av messenger när någon skriver men har tagit av all spårning och dylikt. URL Visselblåsaren hos Tucker. URL Nytt klipp med visselblåsaren och Alex Jones.	POSITIVE
