word	sentiment	vaue
abdikerande	NEGATIVE	-1
aborter	NEGATIVE	-1
abort	NEGATIVE	-1
abradera	NEGATIVE	-1
abrupt	NEGATIVE	-1
absolutionen	POSITIVE	1
absolutionens	POSITIVE	1
absolutionerna	POSITIVE	1
absolutioner	POSITIVE	1
absolutioners	POSITIVE	1
absolution	POSITIVE	1
absolutions	POSITIVE	1
absorberad	POSITIVE	1
abstinensbesvären	NEGATIVE	-1
abstinensbesvärens	NEGATIVE	-1
abstinensbesvär	NEGATIVE	-1
abstinensbesvärs	NEGATIVE	-1
abstinensen	NEGATIVE	-1
abstinensens	NEGATIVE	-1
abstinens	NEGATIVE	-1
absurda	NEGATIVE	-1
absurdare	NEGATIVE	-1
absurdares	NEGATIVE	-1
absurdas	NEGATIVE	-1
absurdastes	VERY NEGATIVE	1
absurdaste	VERY NEGATIVE	1
absurdasts	NEGATIVE	-1
absurdast	VERY NEGATIVE	1
absurde	NEGATIVE	-1
absurdes	NEGATIVE	-1
absurditeten	NEGATIVE	-1
absurditetens	NEGATIVE	-1
absurditeterna	NEGATIVE	-1
absurditeter	NEGATIVE	-1
absurditeters	NEGATIVE	-1
absurditet	NEGATIVE	-1
absurditets	NEGATIVE	-1
absurd	NEGATIVE	-1
absurds	NEGATIVE	-1
absurdum	NEGATIVE	-1
absurt	NEGATIVE	-1
absurts	NEGATIVE	-1
abuse	NEGATIVE	-1
abysmalt	NEGATIVE	-1
acceptabel	POSITIVE	1
acceptabelt	POSITIVE	1
acceptans	POSITIVE	1
accepterade	POSITIVE	1
accepterades	POSITIVE	1
accepterad	POSITIVE	1
accepterads	POSITIVE	1
accepterandena	POSITIVE	1
accepterandenas	POSITIVE	1
accepteranden	POSITIVE	1
accepterandens	POSITIVE	1
accepterande	POSITIVE	1
accepterandes	POSITIVE	1
accepterandet	POSITIVE	1
accepterandets	POSITIVE	1
acceptera	POSITIVE	1
accepterar	POSITIVE	1
accepteras	POSITIVE	1
accepterat	POSITIVE	1
accepterats	POSITIVE	1
ackuratessen	POSITIVE	1
ackuratessens	POSITIVE	1
ackuratess	POSITIVE	1
adaptiv	POSITIVE	1
adekvata	POSITIVE	1
adekvat	POSITIVE	1
adelsdam	POSITIVE	1
adelsman	POSITIVE	1
adelsmärkena	POSITIVE	1
adelsmärkenas	POSITIVE	1
adelsmärken	POSITIVE	1
adelsmärkens	POSITIVE	1
adelsmärke	POSITIVE	1
adelsmärkes	POSITIVE	1
adelsmärket	POSITIVE	1
adelsmärkets	POSITIVE	1
advokatyren	NEGATIVE	-1
advokatyrens	NEGATIVE	-1
advokatyrerna	NEGATIVE	-1
advokatyrer	NEGATIVE	-1
advokatyrers	NEGATIVE	-1
advokatyr	NEGATIVE	-1
advokatyrs	NEGATIVE	-1
afasi	NEGATIVE	-1
affekt	POSITIVE	1
affinitet	POSITIVE	1
affischnamnen	POSITIVE	1
affischnamnens	POSITIVE	1
affischnamnet	POSITIVE	1
affischnamnets	POSITIVE	1
affischnamn	POSITIVE	1
affischnamns	POSITIVE	1
affärsmoral	POSITIVE	1
affärsmässiga	POSITIVE	1
affärsmässig	POSITIVE	1
affärsmässigt	POSITIVE	1
afrofobi	NEGATIVE	-1
afterski	POSITIVE	1
aftonhoran	NEGATIVE	-1
aga	NEGATIVE	-1
agg	NEGATIVE	-1
aggravera	NEGATIVE	-1
aggressionen	NEGATIVE	-1
aggressionens	NEGATIVE	-1
aggressionerna	NEGATIVE	-1
aggressioner	NEGATIVE	-1
aggressioners	NEGATIVE	-1
aggression	NEGATIVE	-1
aggressions	NEGATIVE	-1
aggressiva	NEGATIVE	-1
aggressivare	NEGATIVE	-1
aggressivares	NEGATIVE	-1
aggressivas	NEGATIVE	-1
aggressivastes	VERY NEGATIVE	1
aggressivaste	VERY NEGATIVE	1
aggressivasts	NEGATIVE	-1
aggressivast	VERY NEGATIVE	1
aggressive	NEGATIVE	-1
aggressives	NEGATIVE	-1
aggressiviteter	NEGATIVE	-1
aggressivitet	NEGATIVE	-1
aggressiv	NEGATIVE	-1
aggressivs	NEGATIVE	-1
aggressivt	NEGATIVE	-1
aggressivts	NEGATIVE	-1
aggrivation	NEGATIVE	-1
agility	POSITIVE	1
agitationen	NEGATIVE	-1
agitationens	NEGATIVE	-1
agitationerna	NEGATIVE	-1
agitationer	NEGATIVE	-1
agitationers	NEGATIVE	-1
agitation	NEGATIVE	-1
agitations	NEGATIVE	-1
agnar	NEGATIVE	-1
agnostiker	NEGATIVE	-1
agog	POSITIVE	1
agreabel	POSITIVE	1
agression	NEGATIVE	-1
aha-upplevelsen	POSITIVE	1
ahaupplevelsen	POSITIVE	1
aha-upplevelsens	POSITIVE	1
ahaupplevelsens	POSITIVE	1
aha-upplevelse	POSITIVE	1
ahaupplevelse	POSITIVE	1
aha-upplevelserna	POSITIVE	1
ahaupplevelserna	POSITIVE	1
aha-upplevelser	POSITIVE	1
ahaupplevelser	POSITIVE	1
aha-upplevelsers	POSITIVE	1
ahaupplevelsers	POSITIVE	1
aha-upplevelses	POSITIVE	1
ahaupplevelses	POSITIVE	1
aids	NEGATIVE	-1
aidssjuka	NEGATIVE	-1
aidssjuk	NEGATIVE	-1
akademikerfyllo	NEGATIVE	-1
akerbisk	NEGATIVE	-1
akrimistiskt	NEGATIVE	-1
akrimoni	NEGATIVE	-1
aktade	POSITIVE	1
aktades	POSITIVE	1
aktad	POSITIVE	1
aktads	POSITIVE	1
aktandena	POSITIVE	1
aktandenas	POSITIVE	1
aktanden	POSITIVE	1
aktandens	POSITIVE	1
aktande	POSITIVE	1
aktandes	POSITIVE	1
aktandet	POSITIVE	1
aktandets	POSITIVE	1
akta	POSITIVE	1
aktar	POSITIVE	1
aktas	POSITIVE	1
aktat	POSITIVE	1
aktats	POSITIVE	1
akterlig	POSITIVE	1
akterligt	POSITIVE	1
akter	NEGATIVE	-1
aktier	POSITIVE	1
aktiva	POSITIVE	1
aktningarna	POSITIVE	1
aktningar	POSITIVE	1
aktningars	POSITIVE	1
aktningen	POSITIVE	1
aktningens	POSITIVE	1
aktning	POSITIVE	1
aktnings	POSITIVE	1
aktningsvärda	POSITIVE	1
aktningsvärdare	POSITIVE	1
aktningsvärdares	POSITIVE	1
aktningsvärdas	POSITIVE	1
aktningsvärdaste	POSITIVE	1
aktningsvärdastes	POSITIVE	1
aktningsvärdast	POSITIVE	1
aktningsvärdasts	POSITIVE	1
aktningsvärde	POSITIVE	1
aktningsvärdes	POSITIVE	1
aktningsvärd	POSITIVE	1
aktningsvärds	POSITIVE	1
aktningsvärt	POSITIVE	1
aktningsvärts	POSITIVE	1
aktsam	POSITIVE	1
akuta	NEGATIVE	-1
akutare	NEGATIVE	-1
akutares	NEGATIVE	-1
akutas	NEGATIVE	-1
akutaste	NEGATIVE	-1
akutastes	NEGATIVE	-1
akutast	NEGATIVE	-1
akutasts	NEGATIVE	-1
akute	NEGATIVE	-1
akutes	NEGATIVE	-1
akut	NEGATIVE	-1
akutopererade	NEGATIVE	-1
akutopererad	NEGATIVE	-1
akuts	NEGATIVE	-1
alarmen	NEGATIVE	-1
alarmens	NEGATIVE	-1
alarmerade	NEGATIVE	-1
alarmerades	NEGATIVE	-1
alarmerad	NEGATIVE	-1
alarmerads	NEGATIVE	-1
alarmerandena	NEGATIVE	-1
alarmerandenas	NEGATIVE	-1
alarmerande	NEGATIVE	-1
alarmeranden	NEGATIVE	-1
alarmerandens	NEGATIVE	-1
alarmerandes	NEGATIVE	-1
alarmerandet	NEGATIVE	-1
alarmerandets	NEGATIVE	-1
alarmera	NEGATIVE	-1
alarmerar	NEGATIVE	-1
alarmeras	NEGATIVE	-1
alarmerat	NEGATIVE	-1
alarmerats	NEGATIVE	-1
alarmeringarna	NEGATIVE	-1
alarmeringar	NEGATIVE	-1
alarmeringars	NEGATIVE	-1
alarmeringen	NEGATIVE	-1
alarmeringens	NEGATIVE	-1
alarmering	NEGATIVE	-1
alarmerings	NEGATIVE	-1
alarmet	NEGATIVE	-1
alarmets	NEGATIVE	-1
