id;date;author;post;gold_label;gold_score
1;2000-01-01;Master;Vårens första blommor har börjat blomma i trädgården.;POSITIVE;1
2;2000-01-01;Master;Jag blev upplyft av det stöd jag fick från mina kollegor.;POSITIVE;1
3;2000-01-01;Master;Den nya kaffebaren i grannskapet serverar utsökt espresso.;POSITIVE;1
4;2000-01-01;Master;Att lyssna på musik på morgonen gör mig glad hela dagen.;POSITIVE;1
5;2000-01-01;Master;Jag är tacksam för de lugna stunderna jag får för mig själv.;POSITIVE;1
6;2000-01-01;Master;En främmande person hjälpte mig när jag tappade mina saker på gatan.;POSITIVE;1
7;2000-01-01;Master;Jag klarade körkortstestet på första försöket!;POSITIVE;1
8;2000-01-01;Master;Helgens utflykt till landsbygden var precis vad jag behövde.;POSITIVE;1
9;2000-01-01;Master;Min trädgård är full av färgglada blommor och fjärilar.;POSITIVE;1
10;2000-01-01;Master;Att tillbringa tid med min familj är det bästa jag vet.;POSITIVE;1
11;2000-01-01;Master;Idag är det torsdag och jag har en ledig dag imorgon.;NEUTRAL;0
12;2000-01-01;Master;Min mobiltelefon behöver laddas snart.  ;NEUTRAL;0
13;2000-01-01;Master;Jag tänkte baka bröd till helgen.;NEUTRAL;0
14;2000-01-01;Master;Det finns en ny utställning på museet jag vill besöka.;NEUTRAL;0
15;2000-01-01;Master;Jag har planerat att städa mitt rum denna eftermiddag.;NEUTRAL;0
16;2000-01-01;Master;Jag ska byta till vinterdäck på bilen nästa vecka.;NEUTRAL;0
17;2000-01-01;Master;Det är vanligt att ha en paraply med sig under hösten.;NEUTRAL;0
18;2000-01-01;Master;Jag såg en katt sitta på ett staket när jag gick hem.;NEUTRAL;0
19;2000-01-01;Master;Min favoritbok är utlånad från biblioteket just nu.;NEUTRAL;0
20;2000-01-01;Master;Jag funderar på att starta en ny hobby.;NEUTRAL;0
21;2000-01-01;Master;Jag glömde mitt lösenord och kunde inte logga in.;NEGATIVE;-1
22;2000-01-01;Master;Det är tråkigt när vänner avbokar i sista minuten.;NEGATIVE;-1
23;2000-01-01;Master;Jag är allergisk mot nötter och måste vara försiktig med vad jag äter.;NEGATIVE;-1
24;2000-01-01;Master;Det var en besvikelse att konserten ställdes in.;NEGATIVE;-1
25;2000-01-01;Master;Jag är trött på det ständiga regnet denna vecka.;NEGATIVE;-1
26;2000-01-01;Master;Det är så frustrerande när folk inte lyssnar.;NEGATIVE;-1
27;2000-01-01;Master;Jag råkade spilla kaffe på min nya tröja.;NEGATIVE;-1
28;2000-01-01;Master;Jag hittade en spricka i min mobilskärm idag.;NEGATIVE;-1
29;2000-01-01;Master;Det är så irriterande med förseningar i kollektivtrafiken.;NEGATIVE;-1
30;2000-01-01;Master;Jag kände mig utelämnad när jag inte blev inbjuden till festen.;NEGATIVE;-1
31;2000-01-01;Master;Efter en lång dag är en varm kopp te precis vad jag behöver.;POSITIVE;1
32;2000-01-01;Master;Jag är så stolt över mina barns framsteg i skolan.;POSITIVE;1
33;2000-01-01;Master;En promenad i skogen gör mig alltid lugn och avslappnad.;POSITIVE;1
34;2000-01-01;Master;Att se mina vänner lyckas gör mig otroligt glad.;POSITIVE;1
35;2000-01-01;Master;Jag har äntligen lärt mig spela min favoritlåt på gitarr.;POSITIVE;1
36;2000-01-01;Master;Den nya restaurangen i stan överträffade alla mina förväntningar.;POSITIVE;1
37;2000-01-01;Master;Att hitta en bortglömd tjuga i jackfickan gjorde min dag.;POSITIVE;1
38;2000-01-01;Master;Vårt teamprojekt fick beröm från chefen idag.;POSITIVE;1
39;2000-01-01;Master;Jag vann första pris i den lokala fototävlingen!;POSITIVE;1
40;2000-01-01;Master;Min trädgård blomstrar och det känns som ett litet paradis.;POSITIVE;1
41;2000-01-01;Master;Jag lägger mina nycklar alltid på samma plats.;NEUTRAL;0
42;2000-01-01;Master;Det är dags för årets influensavaccin snart.;NEUTRAL;0
43;2000-01-01;Master;Jag läser oftast nyheterna på morgonen.;NEUTRAL;0
44;2000-01-01;Master;Jag funderar på att byta mobiltelefonmodell.;NEUTRAL;0
45;2000-01-01;Master;I morgon är en annan dag, som de säger.;NEUTRAL;0
46;2000-01-01;Master;Det är en vanlig dag på kontoret.;NEUTRAL;0
47;2000-01-01;Master;Jag behöver köpa nya skor för vintern.;NEUTRAL;0
48;2000-01-01;Master;Jag ska besöka biblioteket för att låna några böcker.;NEUTRAL;0
49;2000-01-01;Master;Jag dricker alltid två koppar kaffe på morgonen.;NEUTRAL;0
50;2000-01-01;Master;Det är dags att plantera om krukväxterna.;NEUTRAL;0
51;2000-01-01;Master;Jag fastnade i trafiken och kom för sent till mötet.;NEGATIVE;-1
52;2000-01-01;Master;Det är så tråkigt att dagarna blir kortare på hösten.;NEGATIVE;-1
53;2000-01-01;Master;Jag glömde mitt paraply och blev genomblöt i regnet.;NEGATIVE;-1
54;2000-01-01;Master;Min dator kraschade och jag förlorade viktiga filer.;NEGATIVE;-1
55;2000-01-01;Master;Jag har ont i halsen, kanske är jag förkyld.;NEGATIVE;-1
56;2000-01-01;Master;Jag är besviken på kvaliteten på de nya hörlurarna.;NEGATIVE;-1
57;2000-01-01;Master;Det känns som att ingenting går min väg idag.;NEGATIVE;-1
