id	date	genre	text
1	2001-11-08	PBLMD	Politikerna i Helsingborg jobbar emot sig själva. Segregationen ska övervinnas men samtidigt placerar kommunen problemfamiljer i de fattiga stadsdelarna. En granskning som P4 Radio Malmöhus har gjort visar att kommunen köper 80 procent av de bostadssociala lägenheterna i områden där arbetslösheten är högre, folk är sjukare och det bor fler invandrare än genomsnittet i Helsingborg. Och hela 95 procent av de bostadssociala lägenheterna ligger i stadsdelar där folk har lägre inkomst än genomsnittet. I de fyra rikaste stadsdelarna har kommunen inte köpt en enda lägenhet. 
2	2002-12-11	PBLMD	KFUM i Umeå har i många år bedrivit sommarläger ute på Norrbyskär, men nu satsar man på billigare sommarläger dagtid vid Nydalasjön. Björn Halling, chef för KFUM Umeå, säger att det här är ett sätt att nå invandrarungdomar och handikappade och andra grupper som man har svårt att nå. Ökad segregation gör att KFUM nu med stöd från kommunen, väljer att satsa på billigare läger dagtid, inte på en ö ute i havsbandet utan vid Nydalasjön bara några kilometer från centrala Umeå. - Det finns ungefär 500 potentiella lägerungdomar på Ersbodaområdet, av dem hade vi 2 ute på Norrbyskär, och då kände vi att här finns det något att göra, säger Per Linerud, verksamhetschef vid KFUM Norrbyskär. 
3	2002-12-12	PBLMD	Kulturföreningen Lättings i Gävle har idag fått 1 miljon kronor av regeringen. Pengarna ska användas till ett tredje och sista år i ett integrationsprojekt, som genom möten mellan människor ska motverka segregation och minska misstron mot de som av vissa anses vara annorlunda. Grunden i vår journalistik är trovärdighet och opartiskhet. Sveriges Radio är oberoende i förhållande till politiska, religiösa, ekonomiska, offentliga och privata särintressen. 
4	2002-03-12	PBLMD	Ännu 25 år efter den stora invandringen från Mellanöstern till Södertälje så fortsätter segregationen, delningen av stan mellan en svensk och en assyrisk/syriansk del. Andelen elever med invandrarbakgrund i Hovsjöskolan ökar år från år. Förra året gick nära hälften av eleverna ut nian utan godkänt i ett eller flera av de tre kärnämnena, svenska, engelska och matematik. Motsvarande siffra på en helsvensk skola är två procent. Under två veckor pågår nu en serie med inslag och reportage i Radio Stockholm om segregationen i Södertälje. 
5	2002-02-07	PBLMD	Inför höstterminen 2000 ändrades intagningen till Stockholms gymnasieskolor. Nu är det högsta betyg som ger en plats på det gymnasium eleven vill gå på istället för den skola som ligger närmast. En ny undersökning visar nu att segregationen i Stockholms gymnasieskolor ökat kraftigt på alla områden, uppger SVTs Dokument Inifrån. Tanken med den nya reformen - att eleverna kunde söka till vilket gymnasium de ville istället för det närmaste - var att bryta segregationen mellan hög- och låginkomsttagare och mellan infödda svenskar och invandrare. Men efter bara drygt ett år står det klart att utvecklingen går åt motsatt håll. Svenskfödda elever med höga betyg och som har föräldrar med hög utbildning och hög inkomst, har sökt sig till de populära skolorna i innerstaden. Kvar i förortsskolorna är invandrarelever med föräldrar som har både låg utbildning och låg lön. Ikväll visas programmet Dokument Inifrån på Sveriges Television där man studerat drygt 22.000 elever som började sitt första år på gymnasiet under 1999 och två år framåt. I programmet jämförs elevernas kön och födelseland samt föräldrarnas utbildning och medelinkomst. I samtliga fall har klyftorna mellan innerstads- och förortsskolorna ökat. I programmet jämförs också förstaårselever som går på det samhällsvetenskapliga programmen på Södra Latin, i innerstaden, med Skärholmens gymnasium som ligger i förorten. Södra Latin är den mest populära gymnasieskolan i Stockholms stad, med drygt två och en halv sökande till varje plats inför höstterminen 2000, medan det fanns lediga platser i Skärholmen förra året. Södra Latin blir allt mer en flickskola, bland förstaklassarna 2001 var sju av tio elever flickor mot sex av tio under 1999. Under samma period gick utvecklingen på Skärholmens gymnasium åt motsatt håll - andelen flickor sjönk 57 procent till 44 procent. För två år sedan var föräldrarnas medelinkomst ungefär på samma nivå för de två gymnasierna, nu har löneskillnaderna ökat till Skärholmens nackdel. Där tjänar föräldrarna nära 400.000 kronor mindre per år än föräldrarna till en elev på Södra latin i Stockholms innerstad. På samma sätt har också föräldrarnas utbildningsnivå sjunkit i förorten. Andelen elever med utländsk bakgrund har också förändrats dramatiskt på de båda gymnasieskolornas samhällsvetenskapliga program. På Södra Latin går nästan bara svenskfödda elever, förra året var 19 av 20 födda i Sverige, en svag ökning från tidigare. I Skärholmen har andelen elever födda i Sverige sjunkit till 14 av 20 elever. Mer i Dokument inifrån ikväll kl 22.10 i SVT1. 
6	2002-09-11	PBLMD	Flera lärare i Sigtuna befarar att kommunens sätt att fördela pengar till skolbarn med vissa särskilda behov, kan leda till segregation mellan skolorna. Josefinaskolan i Sigtuna kommun, som drivs med Waldorfpedagogik, har flera barn med till exempel sociala problem som behöver särskilt stöd, men när kommunen hade fördelat stödbidraget till skolorna blev Josefinaskolan i år delvis utan pengar. -Det här kommer att öka trycket på de kommunala skolorna, som inte kan säga nej till några elever, säger läraren Carina Edberg till Radio Stockholm. Grunden i vår journalistik är trovärdighet och opartiskhet. Sveriges Radio är oberoende i förhållande till politiska, religiösa, ekonomiska, offentliga och privata särintressen. 
7	2002-06-14	PBLMD	Integrationsverket är starkt kritiska till Storstadssatsningen. Satsningens övergripande mål har varit att bryta segregationen i utsatta områden runt storstäderna. Det räcker inte med bara punktinsatser för att bryta segregeringen, är kritiken. - Det räcker inte med bara punktinsatser för att bryta segregeringen, säger Andreas Carlgren. Integrationsverket är i sin slutrapport starkt kritiska till Storstadssatsningen. Dess övergripande mål har varit att bryta segregationen i utsatta områden runt storstäderna. - Projekten går i stor utsträckning ut på att höja individen. Sedan flyttar den som blivit hjälpt därifrån. Områdets status är fortfarande lika dåligt, säger Andreas Carlgren, generaldirektör på Integrationsverket Storstadssatsningen kallas de projektpengar som går till utsatta områden kring landets tre storstäder. Bland dem finns Rosengård i Malmö, Bergsjön i Göteborg och Tensta i Stockholm. 1998 avsatte regeringen drygt två miljarder kronor, och det övergripande målet var att bryta segregeringen. 
8	2002-02-03	PBLMD	I helgen genomfördes flera demonstrationer och manifestationer till minne av den mördade Fadime Sahindal. Manifestationerna som hölls på flera platser runt om i landet och i Norden har alla uppmanat till att minska segregationen i samhället. Igår anordnades en minnesstund på Sergels torg i centrala Stockholm. Huvudtalare var socialdemokraten och biträdande partisekreterare Agneta Gille från Uppsala. Även i vår grannstad Gävle demonstrerade man igår till minne av Fadime. Runt 150 personer deltog i fackeltåget genom stadens centrala delar. Också i Norge har det så kallade hedersmordet lett till en intensiv dabatt och igår deltog omkring tusen personer i en demonstration i Olso till stöd för unga invandrarkvinnor. 
9	2002-05-05	PBLMD	Förortsbor i Göteborg mår sämre och känner sig mer otrygga än förortsbor i Stockholm och Malmö. Och bara en bråkdel vet vad storstadssatsningen, som bland annat ska minska segregationen, innebär. Det visar en enkät bland 3000 personer som Integrationsverket gjort. I går presenterades delar av enkäten på en konferens i Angered för engagerade i storstadssatsningens sju kommuner. Mindre än 40 procent av de göteborgare som svarat på enkäten känner sig trygga när de går ut en sen kväll. Lika många upplever inte att de mår bra. Och över hälften vill flytta från sin stadsdel. Grunden i vår journalistik är trovärdighet och opartiskhet. Sveriges Radio är oberoende i förhållande till politiska, religiösa, ekonomiska, offentliga och privata särintressen. 
10	2002-06-14	PBLMD	Integrationsverket riktar skarp kritik mot den så kallade Storstadssatsningen som ska bryta segregationen i utsatta förorter runt storstäderna. Andreas Carlgren som är generaldirektör på Integrationsverket och som senare idag ska presentera en slutrapport om satsningen säger till ekot att projekten i stor utrsträckning går ut på att hjälpa individer till arbete och mindre bidrag och att de som blivit hjälpt sedan flyttar från förorten. Områdets status är då fortfarande lika låg. Grunden i vår journalistik är trovärdighet och opartiskhet. Sveriges Radio är oberoende i förhållande till politiska, religiösa, ekonomiska, offentliga och privata särintressen. 
