id	date	author	post
1	2008-03-21	Uncovered	Jag bor just nu i norra kortedala ( på gränsen till bergsjön ) och har aldrig haft några som helst [problem#neg#-2#0.5] här fast jag blev [varnad#neg#-2#0.5] . Bodde tidigare på hisingen och hade inga [problem#neg#-2#0.5] där heller ( : Folk är lite för snabba med att [dömma_ut#neg#-2#0.5] områden tycker jag . . [Konstigt#neg#-2#0.5] att det blir [segregation#neg#-2#0.5] !
2	2008-03-21	Baronessan	Det är nog [tyvärr#neg#-2#0.75] så [illa#neg#-2#1.0] att om ni ska ha hyresrätt så går det inte [direkt#pos#2#0.25] att välja_och_vraka . Jag [håller_med#pos#2#0.5] föregående talare att ni ska ta det ni får ( om ni har bråttom med [flytt#neg#-2#0.75] ) och sen försöka byta till annat när ni flyttat hit . Hjällbo , Hammarkullen , Bergsjön , Angered , Gårdsten , Kortedala , Rannebergen , Biskopsgården , Länsmansgården är väl de områden som alla brukar ' [varna#neg#-2#0.5] ' för , men jag har bott på ett av ställena ( iofs i BR ) och känner andra som bott på övriga och det är inte ( alltid ) så [illa#neg#-2#1.0] som folk ger [sken#neg#-2#0.5] av .
3	2008-04-02	Mullet	Jag bor i ' [hemska#neg#-2#0.75] ' Biskopsgården . Jag hade som alla andra hört om hur [farligt#neg#-2#0.5] och [dåligt#neg#-2#0.5] det var här , men kunde inte [tacka_nej#neg#-2#0.5] . Har inte [ångrat#neg#-2#0.5] mig en sekund . [Fin#pos#2#0.5] natur och 3 spårvagnar in till stan som tar 15 min . Tror att de flesta ställen är [ok#pos#1#0.5] att bo på . Men som sagt det är [svårt#neg#-2#0.5] att välja_och_vraka med tanken på [bostadsbristen#neg#-2#0.5] i Gbg .
4	2008-04-03	Puffen	[Oj#pos#1#0.25] vilken [okunskap#neg#-2#0.5] !! Det är som att säga att alla invandrare är [kriminella#neg#-2#0.5] ... Det [stämmer#pos#1#0.25] ju inte ! Jag bor i Askim , har ett pensioner par som närmsta grannar och dom är [genomsnälla#pos#2#0.5] och hur [gulliga#pos#2#0.5] som helst ! Sen bor det mest barnfamiljer här , några ensamstående med barn också . Dom [sura#neg#-2#0.5] kärringarna ... jag vet inte [riktigt#pos#1#0.25] vad du menar med det ... Här finns dom inte allafall . Tror inte heller atta [sura#neg#-2#0.5] [kärringar#neg#-1#0.5] är samlade på ett ställe , men det kanske du tror ???
5	2008-04-03	jensericsson	[Förlåt#pos#2#0.5] , nu blev det lite [fel#neg#-2#0.5] . [Svårt#neg#-2#0.5] med [ironi#neg#-2#0.5] och [nyanser#pos#2#0.25] i trådar . Vill absolut inte hoppa på dina grannar . mkay ? Till TS-om du flyttar till gbg och askim , så försök hamna intill Puffen , för då [slipper#pos#2#0.5] du de där [sura#neg#-2#0.5] kärringarna jag [varnat#neg#-2#0.5] för ! ; )
6	2023-04-06	Anonym-Andra­handsh­yresgä­st	Personer som är [beroende#neg#-2#0.75] av försörjningsstöd får framöver inte längre hyra lägenheter i de kommunala bostadsbolagen i Göteborgs [utsatta#neg#-2#0.75] områden , rapporterar GP . Detta efter ett beslut av det rödgröna styret . Målet med de [nya#pos#2#0.25] reglerna är att [bryta_segregationen#pos#2#0.5] , [förklarar#pos#2#0.75] kommunstyrelsens ordförande Jonas Attenius ( S ) . [Märkligt#neg#-2#0.5] detta , eller hur ? Vilka är det som [utan_inkomst#neg#-2#0.5] har fått hyra bostäder förut ? Jag lever i dagsläget på försörjningsstöd , är svensk , är inte [kriminell#neg#-2#0.5] eller [missbrukare#neg#-2#0.5] , utan är utförsäkrad efter en [arbetsskada#neg#-2#0.5] med icke [fungerande#pos#2#0.5] rehabilitering ... jag får inte hyra någon bostad alls , utom de ytterst få andra- eller tredjehandsuthyrare som inte [bryr_sig#pos#2#0.5] om vart man får pengar till hyran ifrån eller [accepterar#pos#2#0.25] att man lever på försörjningsstöd .
7	2023-04-06	Anonym-Så	[Dumma#neg#-2#0.5] jäkla politiker som skapat alla [problem#neg#-2#0.5] . . Sen måste de hitta på vägar runt dessa och då uppstår [nya_problem#neg#-2#0.5] man måste hantera med half-ass [lösningar#pos#2#0.5] . [Fy#neg#-2#0.5] vad [trött#neg#-2#0.5] jag är på Sverige
8	2023-04-06	Henke81	Ja det undrar jag också . . Det är ju [bekymret#neg#-2#0.5]
9	2023-04-06	Anonym-hyckleri	Man borde ha infört sådana regler för länge sedan , innan utvecklingen med [segregation#neg#-2#0.5] och [bidragsberoende#neg#-1#0.25] spårat_ut så totalt som det har nu . Men ingen , varken politiker eller medelklass , har haft [intresse#pos#2#0.5] av det . Det har varit mycket [hyckleri#neg#-2#0.5] där , alla [låtsas#neg#-2#0.5] vara mot [segregation#neg#-2#0.5] och [utanförskap#neg#-2#0.5] , men många har egentligt [gillat#pos#2#0.5] att [problemen#neg#-2#0.5] varit koncentrerade till områden där dom själva inte bor . Samt att [låtsas#neg#-2#0.5] som att dessa områden hade en oändlig [förmåga#pos#2#0.5] att ta hand om alla nyanlända utan att det fick [konsekvenser#neg#-2#0.25] för någon .
10	2023-04-06	Anonym-S	Hur skulle de löst [problemet#neg#-2#0.5] då ? När de väl får komma till Sverige så måste de ju bo någonstans .
