id	date	author	post
1	2008-03-21	Uncovered	Jag bor just nu i norra kortedala ( på gränsen till bergsjön ) och har aldrig haft några som helst problem här fast jag blev varnad . Bodde tidigare på hisingen och hade inga problem där heller ( : Folk är lite för snabba med att dömma_ut områden tycker jag . . Konstigt att det blir segregation !
2	2008-03-21	Baronessan	Det är nog tyvärr så illa att om ni ska ha hyresrätt så går det inte direkt att välja_och_vraka . Jag håller_med föregående talare att ni ska ta det ni får ( om ni har bråttom med flytt ) och sen försöka byta till annat när ni flyttat hit . Hjällbo , Hammarkullen , Bergsjön , Angered , Gårdsten , Kortedala , Rannebergen , Biskopsgården , Länsmansgården är väl de områden som alla brukar ' varna ' för , men jag har bott på ett av ställena ( iofs i BR ) och känner andra som bott på övriga och det är inte ( alltid ) så illa som folk ger sken av .
3	2008-04-02	Mullet	Jag bor i ' hemska ' Biskopsgården . Jag hade som alla andra hört om hur farligt och dåligt det var här , men kunde inte tacka_nej . Har inte ångrat mig en sekund . Fin natur och 3 spårvagnar in till stan som tar 15 min . Tror att de flesta ställen är ok att bo på . Men som sagt det är svårt att välja_och_vraka med tanken på bostadsbristen i Gbg .
4	2008-04-03	Puffen	Oj vilken okunskap !! Det är som att säga att alla invandrare är kriminella ... Det stämmer ju inte ! Jag bor i Askim , har ett pensioner par som närmsta grannar och dom är genomsnälla och hur gulliga som helst ! Sen bor det mest barnfamiljer här , några ensamstående med barn också . Dom sura kärringarna ... jag vet inte riktigt vad du menar med det ... Här finns dom inte allafall . Tror inte heller atta sura kärringar är samlade på ett ställe , men det kanske du tror ???
5	2008-04-03	jensericsson	Förlåt , nu blev det lite fel . Svårt med ironi och nyanser i trådar . Vill absolut inte hoppa på dina grannar . mkay ? Till TS-om du flyttar till gbg och askim , så försök hamna intill Puffen , för då slipper du de där sura kärringarna jag varnat för ! ; )
6	2023-04-06	Anonym-Andra­handsh­yresgä­st	Personer som är beroende av försörjningsstöd får framöver inte längre hyra lägenheter i de kommunala bostadsbolagen i Göteborgs utsatta områden , rapporterar GP . Detta efter ett beslut av det rödgröna styret . Målet med de nya reglerna är att bryta_segregationen , förklarar kommunstyrelsens ordförande Jonas Attenius ( S ) . Märkligt detta , eller hur ? Vilka är det som utan_inkomst har fått hyra bostäder förut ? Jag lever i dagsläget på försörjningsstöd , är svensk , är inte kriminell eller missbrukare , utan är utförsäkrad efter en arbetsskada med icke fungerande rehabilitering ... jag får inte hyra någon bostad alls , utom de ytterst få andra- eller tredjehandsuthyrare som inte bryr_sig om vart man får pengar till hyran ifrån eller accepterar att man lever på försörjningsstöd .
7	2023-04-06	Anonym-Så	Dumma jäkla politiker som skapat alla problem . . Sen måste de hitta på vägar runt dessa och då uppstår nya_problem man måste hantera med half-ass lösningar . Fy vad trött jag är på Sverige
8	2023-04-06	Henke81	Ja det undrar jag också . . Det är ju bekymret
9	2023-04-06	Anonym-hyckleri	Man borde ha infört sådana regler för länge sedan , innan utvecklingen med segregation och bidragsberoende spårat_ut så totalt som det har nu . Men ingen , varken politiker eller medelklass , har haft intresse av det . Det har varit mycket hyckleri där , alla låtsas vara mot segregation och utanförskap , men många har egentligt gillat att problemen varit koncentrerade till områden där dom själva inte bor . Samt att låtsas som att dessa områden hade en oändlig förmåga att ta hand om alla nyanlända utan att det fick konsekvenser för någon .
10	2023-04-06	Anonym-S	Hur skulle de löst problemet då ? När de väl får komma till Sverige så måste de ju bo någonstans .
