id	date	party	text
1	2013-01-28	sd	utvidgad målgrupp samhällsorientering kunskapsunderlag analys integrationen tillstånd utveckling förslag riksdagsbeslut riksdagen tillkännager regeringen mening anförs motionen målgruppen omfattning 
2	2013-01-28	sd	riksdagen tillkännager regeringen mening anförs motionen samhällsorientering obligatorisk nyanlända invandrare ingår målgruppen 
3	2013-01-28	sd	riksdagen tillkännager regeringen mening anförs motionen reglera samhällsorienteringen målgrupper 
4	2013-01-28	sd	riksdagen tillkännager regeringen mening anförs motionen behovet ökat innehållsmässigt fokus mänskliga_rättigheter grundläggande demokratiska_värderingar samhällsorienteringen 
5	2013-01-28	sd	riksdagen tillkännager regeringen mening anförs motionen samhällsorienteringen utökas betona kunskaper svenska värdegrunden svensk kultur svensk tradition 
6	2013-01-28	sd	riksdagen tillkännager regeringen mening anförs motionen avskaffa prestationsbaserade stimulansersättningen utbildning svenska invandrare 
7	2013-01-28	sd	riksdagen tillkännager regeringen mening anförs motionen behovet reglerad invandring lyckad etablering nyanlända invandrare 
8	2013-01-28	sd	samhällsorienteringen former målgruppen omfattning regeringen propositionen behov utvidga målgruppen samhällsorientering årligen invandrar omfattas etableringslagen erbjuds samhällsorientering 
9	2013-01-28	sd	sverigedemokrater positivt samhällsorientering etableringsprocessen nyanlända invandrare 
10	2013-01-28	sd	ställer_oss positiva utvidgning målgruppen samhällsorientering instämmer flertalet remissinstanser regeringen föreslagna utvidgningen alltför snäv 
11	2013-01-28	sd	sverigedemokrater vikt invandrar syfte bosatta verksamma förväntas kunskaper samhälle 
12	2013-01-28	sd	instämmer synpunkter förts_fram migrationsverket länsstyrelser kronobergs län skåne län stockholms län västra götalands län västerbotten län alvesta kommun botkyrka kommun göteborgs kommun sollentuna kommun vännäs kommun örnsköldsviks kommun sveriges akademikers centralorganisation saco ingå målgruppen delvis väntas verksamma arbetsmarknaden yrkesverksamma grundläggande kännedom svenska_samhället rättigheter skyldigheter gentemot 
13	2013-01-28	sd	anledning migrationsverket länsstyrelser kronobergs län stockholms län västra götalands län alvesta kommun botkyrka kommun sollentuna kommun vännäs kommun örnsköldsviks kommun arbetskraftsinvandrare ingå målgruppen 
14	2013-01-28	sd	sammanhanget poängtera regler arbetskraftsinvandring öppnat_upp missbruk regelverket medfört handel arbetstillstånd anställningsavtal villkor överensstämmer kollektivavtal 
15	2013-01-28	sd	arbetskraftsinvandrare automatik förväntas etablerat svenska_arbetsmarknaden medveten rättigheter skyldigheter invånare 
16	2013-01-28	sd	sverigedemokrater botkyrka kommun nyanlända invandrare läser gymnasiet ingå målgruppen samhällsorientering 
17	2013-01-28	sd	yngre invandrare läser gymnasiet skolväsendet förväntas motsvarande samhällsorientering 
18	2013-01-28	sd	länsstyrelser kronobergs län stockholms län örnsköldsviks kommun sacoförbundet naturvetar medborgare ees-land schweiz ingå målgruppen nationalitet kunskap villkor 
19	2013-01-28	sd	sverigedemokrater instämmer regeringen bedömning gäststuderande gästforskare anhöriga behov samhällsorientering vistelse kortvarig avsikt permanent etablera 
20	2013-01-28	sd	sammanfattningsvis instämmer sverigedemokrater kritik förts_fram stockholms universitet landsorganisationen länsstyrelser kronobergs län stockholms län regeringen alltför snäva samhällsorientering etableringen arbetsmarknaden definieras överordnat mål verktyg komma_till_rätta sysselsättningsproblem 
21	2013-01-28	sd	samhällsorientering processen svenska_samhället nyanlända invandrare avsikt obestämd etablera ingå målgruppen 
22	2013-01-28	sd	anförts utvidgning målgruppen samhällsorientering regeringen 
23	2013-01-28	sd	obligatorisk samhällsorientering sverigedemokrater fastställs samhällsorientering fyller processen etableras svenska_samhället 
24	2013-01-28	sd	vision sammanhållet invånare känner_sig delaktiga svenska_samhället samhällsorienteringen obligatorisk nyanlända invandrare ingår målgruppen 
25	2013-01-28	sd	grundläggande kunskaper svenska_samhället rättigheter skyldigheter gentemot centrala bosätta_sig obestämd samhälle 
26	2013-01-28	sd	sverigedemokrater självklarhet rättigheter skyldigheter undlåtelse delta obligatorisk samhällsorienteringen medföra ekonomiska_konsekvenser minskade ersättningar bidrag anförts obligatorisk samhällsorientering regeringen 
27	2013-01-28	sd	samlad lagstiftning sveriges kommuner landsting botkyrka kommun förordar sverigedemokrater målgrupper samlas lagen samhällsorientering 
28	2013-01-28	sd	samhällsorienteringen värde möjligheten nyanlända invandrares delaktighet svenska_samhället anförts målgrupp utvidgas rejält beläggas obligatorisk deltagande 
29	2013-01-28	sd	regleras lagstadgas separat specifikt riktade insatser erbjuds 
30	2013-01-28	sd	ändringar föreslår målgrupp obligatorium poängtera värdet samla lagstiftning insats 
31	2013-01-28	sd	enskilda insatsen ingå helhetspaket regleras dubbelt 
32	2013-01-28	sd	vikt anför sända tydliga signaler deltagare samverkande aktörer samhällsorienteringen insats prioritet målgrupp 
33	2013-01-28	sd	anförts fördelar samlad lagstiftning samhällsorienteringen regeringen 
34	2013-01-28	sd	samhällsorienteringen syfte innehåll mänskliga_rättigheter demokratiska_värderingar samhällsorienteringen utformning regleras förordning samhällsorientering nyanlända invandrare 
35	2013-01-28	sd	förordningen fastslås kunskapsmål mänskliga_rättigheter grundläggande demokratiska_värderingar enskildes rättigheter skyldigheter samhället organiserat praktisk vardagsliv 
36	2013-01-28	sd	förordningen stadgas tyngdpunkten praktisk aspekten leva tydligt samhällsorienteringen innehåll definieras områden försörja utvecklas individen rättigheter skyldigheter bilda familj leva påverka vårda hälsa åldras 
37	2013-01-28	sd	sverigedemokrater kunskapsmålen samhällsorienteringen utformning tydliga fokus praktisk aspekter riskerar hamna skymundan 
38	2013-01-28	sd	djupt oroande kännedom förankring mänskliga_rättigheter grundläggande demokratiska_värderingar grundläggande värdigt respektfullt enskilde samhället 
39	2013-01-28	sd	åsikt utrymme samhällsorienteringen information arbete kunskapsmålet 
40	2013-01-28	sd	anförs samhällsorienteringen fokus mänskliga_rättigheter grundläggande demokratiska_värderingar regeringen 
41	2013-01-28	sd	svenska värdegrunden svensk tradition sverigedemokrater mening lever känna_till anpassa bejaka västerländska humanistisk land vilar ingår värden jämställdhet kvinnor män individen människovärde likhet lagen respekt rättsstaten 
42	2013-01-28	sd	värden betecknas universell dessvärre självklara kulturer individer världen 
43	2013-01-28	sd	decennier lärt begreppen hederskultur hedersvåld tydligt tecken bristande förankring svenska värdegrunden bakgrund kulturer 
44	2013-01-28	sd	likaså bristande tilltro svensk lagstiftning rättsväsen uttryck upplopp etablerandet rättssystem 
45	2013-01-28	sd	sverigedemokrater kunskapsmålet mänskliga_rättigheter grundläggande demokratiska_värderingar kompletteras kunskapsmål svenska värdegrunden svensk kultur svensk tradition 
46	2013-01-28	sd	vikten gemensamma värdegrund samhälle belysas självklarhet förmedling kunskap förankring densamma ingå samhällsorienteringen syfte 
47	2013-01-28	sd	kunskap svensk kultur svensk tradition främjar positivt assimilation inträde svenska gemenskapen svensk medborgare 
48	2013-01-28	sd	kunskap svensk leverne kulturell särart svenska_samhället vilar grundläggande obestämd leva 
49	2013-01-28	sd	kunskap svensk kultur svensk tradition mening komplement kunskapsmål samhällsorienteringen 
50	2013-01-28	sd	deltagar verktyg behövs svenska_samhället 
51	2013-01-28	sd	kunskap risken nyanlände hamnar utanförskap utvecklingen etnisk enklaver ökad segregation 
52	2013-01-28	sd	anförts kunskapsmål svenska värdegrunden svensk kultur svensk tradition regeringen försöksverksamheten prestationsbaserad stimulansersättning 
53	2013-01-28	sd	sfi-bonus inleddes kommuner permanentades september sfi-bonusen elev svenskstudier kursen startade bonus utöver ersättning sfi-studerande berättigad 
54	2013-01-28	sd	regeringen föreslår föreliggande proposition förändring regelverket sfi-bonusen 
55	2013-01-28	sd	sverigedemokrater skeptisk föreslår åtgärden slopas 
56	2013-01-28	sd	utmärker presterar rimligen förväntas premieras i_grund_och_botten 
57	2013-01-28	sd	sänder signaler dela_ut bonus presterar anses förväntat fullgjort skyldigheter 
58	2013-01-28	sd	olämpligt orimligt samhälle lägga_sig ambitionsnivå 
59	2013-01-28	sd	permanent bosätta_sig land kräva lär_sig svenska lära_sig svenska 
60	2013-01-28	sd	viljan integration beroende storleken bidraget stat och/eller kommun tillhandahåller 
61	2013-01-28	sd	ställa_sig frågan sfi-bonusen förväntad effekt 
62	2013-01-28	sd	tidningen riksdag departement augusti primärt studievana invandrare sfi-bonusen studier bonusen 
63	2013-01-28	sd	rapport institutet arbetsmarknads- utbildningspolitisk utvärdering sfi-bonusen stockholms_kommun effekt deltagande studieresultat anförts sfi-bonusen regeringen 
64	2013-01-28	sd	reglerad invandring regeringen proposition övergripande analys integrationen tillstånd utveckling 
65	2013-01-28	sd	sverigedemokrater peka enskilt brister förda politik området brister bromsar vägen invandrades etablering svenska_samhället 
66	2013-01-28	sd	inriktning mångkulturbaserad integration gemenskapsfokuserad assimilation invandring svenska_samhället politisk åtgärder mäktar möta söker_sig 
67	2013-01-28	sd	föreslagit förändringar samhällsorienteringen syftar omställning bristen 
68	2013-01-28	sd	tydligare sammankoppling rättigheter skyldigheter ökade krav anpassning bidra minskat tryck ansökningar uppehållstillstånd 
69	2013-01-28	sd	säkerställa mottagande hålls hållbar nivå poängtera behovet reglerad invandring uppföljning verkställighet regler fastställts 
70	2013-01-28	sd	anförts behovet reglerad invandring regeringen 
71	2013-05-03	sd	<page id="1"> förslag riksdagsbeslut riksdagen tillkännager regeringen mening anförs motionen arbetsmarknadspolitiska_åtgärder villkor födelseland 
72	2013-05-03	sd	riksdagen tillkännager regeringen mening anförs motionen företagande sysselsättning instrument etablering 
73	2013-05-03	sd	skrivelsen behandlar regeringen bedömning rapport riksrevisionen lämnat avseende stödinsatser företagare når_ut utrikes födda effekter etablering 
74	2013-05-03	sd	rapporten konstateras stöd delas_ut visserligen bidra sysselsättningen skala utrikes inrikes födda 
75	2013-05-03	sd	leder grava brister statistik uppföljning analys konkreta ihållande effekter genomföra 
76	2013-05-03	sd	statistik utrikes födda stöd almi arbetsförmedlingen lyckas sämre inkomster inrikes födda 
77	2013-05-03	sd	statliga medel delas_ut noggrann statistik möjlighet underbyggd kontroll allvarligt 
78	2013-05-03	sd	riksrevisionen lyft_upp regeringen instämt problematiken 
79	2013-05-03	sd	mening principiell inbyggda premisser utdelningen stöd regeringen målsättning förväntade effekter stödinsatserna 
80	2013-05-03	sd	regeringen integrationsstrategi bygger sysselsättningen företagandet utrikes födda 
81	2013-05-03	sd	mål formulerats utrikes födda prioriteras grupper 
82	2013-05-03	sd	mål fastställts almi respektive arbetsförmedlingen 
83	2013-05-03	sd	djupt bekymmersamt acceptabelt samhälle skillnad härkomst 
84	2013-05-03	sd	ambitionen villkor individer vägen särbehandling baserat födelseland 
85	2013-05-03	sd	utöver principiell problematiken utrikes födda ställs inrikes födda brister regeringen strategi utsikter varaktiga effekter 
86	2013-05-03	sd	grunden varaktig välfungerande politik identifiera strukturella_problem åtgärda bidrag grupper drabbats problem räcker 
87	2013-05-03	sd	andelen utrikes födda lån bidrag integration etablering samhället säkras 
88	2013-05-03	sd	som_sagt statistiken utrikes födda stödinsatser lyckas grad inrikes <page id="2"> födda 
89	2013-05-03	sd	ensidigt fokusera sysselsättning företagande integrationen mätas integrationspolitiken utformas ignoreras framväxten parallellsamhällen segregation 
90	2013-05-03	sd	mening skillnader inrikes utrikes födda svenskar satsa likabehandling naturliga mötesplatser arbetsmarknad 
91	2013-04-25	sd	<page id="1"> sammanfattning landsbygdslyftet! sverigedemokrater lanserar budgetdokument gedigen satsning svenska landsbygden svenskar landsbygdskommuner avfolkningskommuner 
92	2013-04-25	sd	visserligen urbaniseringstrenden naturliga förklaringar föra politik 
93	2013-04-25	sd	nuvarande regering slagit_in linje flertalet landsbygden villkor 
94	2013-04-25	sd	sverigedemokrater näringar blomstra landsbygden avfolkningstrenden motverkas skapa optimala tillväxt sysselsättning landsbygdsmiljöer 
95	2013-04-25	sd	företag antas landsbygden tätort 
96	2013-04-25	sd	företag nytta skalfördelar uppstår urban miljö företag nytta befinna_sig marknad kommunikationer rör_sig företag vidareförädling råvaror 
97	2013-04-25	sd	utmaningen skapa näringar nytta fördelar landsbygden erbjuder skog jordbruk vattenbruk besöksnäring gruvor mineraler natur- kulturmiljöer 
98	2013-04-25	sd	sverigedemokrater presenterar budgetdokument kraftfulla satsningar landsbygden leva växa frodas skapar jobb landsbygden 
99	2013-04-25	sd	skogsnäring skogen brukats industriell skala sedan 500600 kristus sysselsätter skogsindustrin direkt indirekt 
100	2013-04-25	sd	världen näst exportör papper pappersmassa trävaror 
101	2013-04-25	sd	utgångspunkten sverigedemokrater skogspolitik övergripande jämställda mål miljömålet produktionsmålet 
102	2013-04-25	sd	skogsstyrelsen miljöhänsynen levt_upp acceptabel nivå 
103	2013-04-25	sd	sverigedemokrater skjuta resurser skogsstyrelsen enklare oftare bistå rådgivning markägar skogsnäringen beroende transporter 
104	2013-04-25	sd	sverigedemokrater inlandsbanan tvärbanor rejält lyft 
105	2013-04-25	sd	inlandsbanan klara axeltryck modernt trafikledningssystem elektrifieras avsevärda förbättringar underhållet behövs tvärbanor elektrifieras 
106	2013-04-25	sd	därutöver behövs terminaler anpassade skogsråvara tågtider 
107	2013-04-25	sd	 <page id="2"> upprustning modernisering inlandsbanan skogspolitisk åtgärd banan fungerar redundan järnvägsnätet 
108	2013-04-25	sd	stambanan oframkomlig inlandsbanan fungera reserv 
109	2013-04-25	sd	sverigedemokrater skjuta avsevärda resurser banhållningen trafikverket uppdrag modernisera inlandsbanan tvärbanor 
110	2013-04-25	sd	därutöver inventering ostkustbanan södra stambanan kostnadskalkylera upprustning modernisering 
111	2013-04-25	sd	sverigedemokrater anslagen sveriges lantbruksuniversitet linnéuniversitetet agerar huvudman skogs- träprogrammet 
112	2013-04-25	sd	tillika skogsinstitutet utbildar jägmästare ansvarar examina skogsmästare ökade anslag 
113	2013-04-25	sd	intresset framtid näringen ökar politiken väljer prioritera näringslivsvänlig inriktning skogen ledande nationer skogsforskning 
114	2013-04-25	sd	textilier bioplaster superstarka kompositer kolfibermaterial generation drivmedel utvecklas produceras laboratorier fabriker 
115	2013-04-25	sd	sverigedemokrater skjuta medel forskning skogsnäringen 
116	2013-04-25	sd	sverigedemokrater grundlig undersökning klassa torv biodrivmedel miljö- sysselsättningsperspektiv 
117	2013-04-25	sd	torvland utgör sveriges landyta utvinning bedrivs ytan 
118	2013-04-25	sd	miljöaspekter negligerbara sysselsättningsskapande effekter sveriges geologisk undersökning uppdras inventera torvmarker utröna utsträckning brytning lämplig 
119	2013-04-25	sd	vattenbruk fiskodling sjöar kust utnyttjandet resurser blygsamt 
120	2013-04-25	sd	potential bygga_upp hållbart vattenbruk ökad sysselsättning odlades land fisk 
121	2013-04-25	sd	grannland norge motsvarande siffra närmare miljon 
122	2013-04-25	sd	sverigedemokrater utöka fiskodlingar skjuter resurser odlingen matfisk 
123	2013-04-25	sd	sverigedemokrater starkt kritisk direktiv långtgående återverkningar svenska jordbruket 
124	2013-04-25	sd	omförhandla avtalen svenska medlemskapet 
125	2013-04-25	sd	omförhandla handelsavtalen förbjuda import chark- mejeriprodukter tillverkats förenligt svenska djurskyddslagstiftningen 
126	2013-04-25	sd	medför bönder slipper utsättas konkurren bygger villkor konkurrenter fördel enkom värde fokus djuren 
127	2013-04-25	sd	tillika ämnar reformera lagen offentlig upphandling reglerad i eu-rätt förtydliga livsmedel upphandlas lokalt förenligt eu:s <page id="3"> konkurrensregler 
128	2013-04-25	sd	dylik reform antas medföra långtgående fördelar jordbruk lejonparten lokala regionala marknaden utgörs offentliga 
