id	date	party	text
1	2013-04-29	v	ekonomiska_vårproposition statsskuld budgetresultat starkaste statsfinanser världen massarbetslösheten vardag 
2	2013-04-29	v	regeringen tillträdde arbetslösheten ökat procentenheter motsvarar ökad arbetslöshet sysselsättningsgraden fallit regeringen makten arbetsmarknadspolitiken nedrustats arbetssökande ledigt jobb 
3	2013-04-29	v	arbetslöshet präglas regeringen politik bristen samhällsnyttiga investeringar skapa jobb 
4	2013-04-29	v	regeringen ekonomiska_politik jobb ensidigt press lägsta löner nedåt försämringar a-kassan sjukförsäkringen införandet jobbskatteavdragen subventioner branscher präglade produktivitet låga löner 
5	2013-04-29	v	borgerlig regering konstatera förda politiken misslyckats 
6	2013-04-29	v	visar_sig långtidsarbetslösheten ökat numer massarbetslösheten långtidsarbetslöshetens land land ojämlikheten ökar välfärden krackelerar klimat- miljöutmaningar prioriteras_ned 
7	2013-04-29	v	vänsterpartiets budgetalternativ riktlinjer solidarisk samhälle bygger gemensamma lösningar 
8	2013-04-29	v	ekonomisk ramverket utgå samhällsproblem gårdagen huvuduppgiften bekämpa arbetslösheten full sysselsättning övergripande målet 
9	2013-04-29	v	vänsterpartiet föreslår motion alternativt ekonomisk ramverk 
10	2013-04-29	v	penningpolitiken kompletteras sysselsättningsmål överskottsmål ersättas mål balan konjunkturcykel 
11	2013-04-29	v	ramverk inriktning skapas bekämpa arbetslösheten föra ansvarsfull långsiktig ekonomisk politik full sysselsättning 
12	2013-04-29	v	kvinnors ställning möjligheter arbetsmarknaden utöver demokrati- maktfråga vikt samhällsekonomin 
13	2013-04-29	v	individualiserad föräldraförsäkring fasta jobb heltid gemensam fungerande barn- äldreomsorg ökar kvinnors arbetsutbud möjligheter delta arbetsmarknaden villkor 
14	2013-04-29	v	kvinnor förvärvsarbetade utsträckning män sysselsättningen kvinnor motsvarande heltidstjänster viket stärka offentliga_finanser uppskattningsvis miljarder_kronor 
15	2013-04-29	v	förda politiken resulterat dramatisk ökning ekonomisk skillnader män kvinnor 
16	2013-04-29	v	skillnaden årlig nettoinkomst uppgår kronor ökat ökade skillnader avspeglas andelen kvinnor relativa fattigdomsgränsen ökat 
17	2013-04-29	v	vänsterpartiet bekämpa gapet kvinnors mäns sysselsättning löner inkomst stärka kvinnors ställning arbetsmarknaden 
18	2013-04-29	v	storsatsar kvalitet vård skola omsorg 
19	2013-04-29	v	motion föreslår satsningar personal utbildning hemtjänst äldreomsorg 
20	2013-04-29	v	sambandet utbyggd hemtjänst äldreomsorg kvinnors deltagande arbetsmarknaden avgörande jämställdhetsfråga 
21	2013-04-29	v	vänsterpartiet jämställdhetskommission tillsättas syfte kvinnors sysselsättningsgrad kvinnor tillträde arbetsmarknaden män 
22	2013-04-29	v	vänsterpartiet bygga_ut förbättra landets infrastruktur ta_itu_med uppgiften bygga hållbart transportsystem pendlaren centrum 
